"ObjectName","RA_deg","Dec_deg","groupNumber","ANG_SIZE_MAJ","ANG_SIZE_MIN"
"HCG40c",144.723,-4.86017,40,1.1,0.3
"HCG40d",144.733,-4.83708,40,0.9,0.4
"HCG40e",144.731,-4.85836,40,0.7,0.3
"HCG42a",150.06,-19.637,42,3,1.9
"HCG42b",150.138,-19.662,42,1,0.8
"HCG42c",150.043,-19.6218,42,0.4,0.4
"HCG42d",150.054,-19.673,42,0.44,0.36
"HCG43a",152.833,-0.0229722,43,0.7,0.27
"HCG43b",152.781,-0.0421944,43,1.01,0.18
"HCG43c",152.803,-0.0675278,43,0.5,0.28
"HCG43d",152.804,-0.0871111,43,0.3,0.27
"HCG43e",152.81,-0.0513611,43,0.27,0.25
"HCG44a",154.523,21.8323,44,4.4,1.5
"HCG44b",154.604,21.894,44,3,2.7
"HCG44c",154.411,21.6882,44,2.16,1.1
"HCG44d",154.449,21.8733,44,3,1.3
"HCG45a",154.807,59.1311,45,1.21,0.39
"HCG45b",154.772,59.1055,45,0.55,0.31
"HCG45c",154.782,59.0845,45,0.16,0.1
"HCG45d",154.818,59.1376,45,0.28,0.17
"HCG46a",155.53,17.8381,46,0.36,0.27
"HCG46b",155.554,17.8538,46,0.32,0.26
"HCG46c",155.553,17.8595,46,0.26,0.23
"HCG46d",155.572,17.8819,46,0.42,0.25
"HCG47a",156.443,13.7169,47,1.12,0.59
"HCG47b",156.452,13.7279,47,0.61,0.54
"HCG47c",156.454,13.7532,47,0.4,0.33
"HCG47d",156.449,13.7491,47,0.54,0.45
"HCG49a",164.174,67.1849,49,0.48,0.44
"HCG49b",164.163,67.1803,49,0.46,0.21
"HCG49c",164.153,67.1812,49,0.34,0.26
"HCG49d",164.14,67.178,49,0.34,0.22
"HCG50a",169.277,54.9171,50,0.2,0.19
"HCG50b",169.285,54.9174,50,0.27,0.15
"HCG50c",169.267,54.9209,50,0.19,0.17
"HCG50d",169.277,54.9237,50,0.24,0.14
"HCG50e",169.286,54.9206,50,0.14,0.1
"HCG51a",170.61,24.2991,51,1.33,1.23
"HCG51b",170.559,24.3001,51,0.8,0.6
"HCG51c",170.625,24.2793,51,0.9,0.6
"HCG51d",170.627,24.2999,51,0.3,0.3
"HCG51e",170.555,24.3172,51,0.3,0.3
"HCG51f",170.61,24.2954,51,0.57,0.28
"HCG51g",170.617,24.2954,51,0.23,0.19
"HCG53a",172.21,20.795,53,2.28,0.71
"HCG53b",172.249,20.7391,53,0.82,0.48
"HCG53c",172.244,20.7497,53,0.7,0.5
"HCG53d",172.311,20.7731,53,0.49,0.27
"HCG55a",173.029,70.8155,55,0.44,0.43
"HCG55b",173.023,70.8066,55,0.26,0.23
"HCG55c",173.024,70.8108,55,0.57,0.38
"HCG55d",173.028,70.8212,55,0.27,0.22
"HCG56a",173.195,52.9409,56,1.15,0.19
"HCG56b",173.168,52.9504,56,0.65,0.36
"HCG56c",173.153,52.9477,56,0.74,0.56
"HCG56d",173.147,52.9473,56,0.42,0.26
"HCG56e",173.137,52.9393,56,0.44,0.31
"HCG57a",174.475,21.9814,57,1.7,0.5
"HCG57b",174.432,22.0098,57,1.1,0.5
"HCG57c",174.465,21.9743,57,0.8,0.7
"HCG57d",174.479,21.9855,57,0.4,0.3
"HCG57e",174.454,22.0261,57,0.7,0.4
"HCG57f",174.474,21.9365,57,0.69,0.4
"HCG57g",174.435,22.0213,57,0.4,0.2
"HCG57h",174.46,22.0126,57,0.33,0.28
"HCG58a",175.546,10.2778,58,1.4,0.8
"HCG58b",175.599,10.2641,58,1.68,0.96
"HCG58c",175.471,10.3044,58,1.09,0.84
"HCG58d",175.524,10.3511,58,0.91,0.73
"HCG58e",175.52,10.3842,58,0.65,0.5
"HCG59a",177.115,12.7274,59,0.59,0.54
"HCG59b",177.084,12.7166,59,0.5,0.5
"HCG59c",177.135,12.7053,59,0.9,0.29
"HCG59d",177.128,12.7298,59,0.69,0.43
"HCG60a",180.78,51.6752,60,0.58,0.45
"HCG60b",180.736,51.695,60,0.38,0.21
"HCG60c",180.779,51.6854,60,0.37,0.26
"HCG60d",180.79,51.6782,60,0.34,0.28
"HCG62a",193.274,-9.20383,62,0.7,0.5
"HCG62b",193.269,-9.19992,62,2.6,2
"HCG62c",193.291,-9.19781,62,0.4,0.3
"HCG62d",193.278,-9.25764,62,0.66,0.56
"HCG65a",202.462,-29.5146,65,1.4,0.8
"HCG65b",202.478,-29.4969,65,0.91,0.4
"HCG65c",202.472,-29.4919,65,0.63,0.49
"HCG65d",202.467,-29.5131,65,0.33,0.23
"HCG65e",202.481,-29.4916,65,0.15,0.15
"HCG66a",204.659,57.3123,66,0.45,0.39
"HCG66b",204.668,57.3125,66,0.49,0.27
"HCG66c",204.646,57.3082,66,0.32,0.16
"HCG66d",204.643,57.3043,66,0.17,0.12
"HCG67a",207.298,-7.22439,67,1.96,1.81
"HCG67b",207.248,-7.19494,67,2.1,0.4
"HCG67c",207.301,-7.20911,67,0.7,0.3
"HCG67d",207.291,-7.23175,67,0.55,0.33
"HCG68a",208.361,40.283,68,2.2,1.1
"HCG68b",208.361,40.3027,68,1.4,1.3
"HCG68c",208.34,40.3639,68,3.2,2.3
"HCG68d",208.44,40.3387,68,1.12,0.72
"HCG68e",208.502,40.2773,68,1.24,0.49
"HCG69a",208.874,25.0737,69,1.58,0.37
"HCG69b",208.893,25.0498,69,0.59,0.38
"HCG69c",208.886,25.0744,69,0.45,0.37
"HCG69d",208.868,25.0736,69,0.11,0.09
"HCG70d",211.041,33.346,70,0.48,0.4
"HCG70e",211.024,33.3207,70,0.4,0.4
"HCG70f",211.018,33.3292,70,0.26,0.21
"HCG70g",211.001,33.3317,70,0.24,0.21
"HCG72a",221.972,19.0771,72,0.5,0.1
"HCG72b",221.979,19.06,72,0.52,0.22
"HCG72c",221.987,19.0451,72,0.6,0.2
"HCG72d",221.982,19.0573,72,0.2,0.2
"HCG72f",221.98,19.0474,72,0.3,0.2
"HCG74a",229.853,20.8963,74,0.82,0.77
"HCG74b",229.851,20.8908,74,0.62,0.43
"HCG74c",229.858,20.8995,74,0.45,0.3
"HCG74d",229.882,20.8836,74,0.33,0.26
"HCG74e",229.866,20.9089,74,0.2,0.13
"HCG75a",230.376,21.1912,75,0.73,0.53
"HCG75b",230.377,21.1924,75,0.63,0.17
