      Input Object Name       	     RA     	    Dec     	  cz  	 Redshift 	 Redshift  	 z  	Basic-Data	Basic-Data
                              	  J2000.0   	  J2000.0   	 km/s 	          	Uncertainty	Qual	Major Diam	Minor Diam
                              	            	            	      	          	           	    	 (arcmin) 	 (arcmin)  
HCG 15a                       	02h07m53.08s	+02d10m03.4s	  6967	  0.023239	   0.000100	    	       1.1	       0.5
HCG 15b                       	02h07m34.10s	+02d06m54.7s	  7117	  0.023740	   0.000120	    	       0.8	       0.7
HCG 15c                       	02h07m39.78s	+02d08m58.8s	  7256	  0.024203	   0.000050	    	       0.8	       0.8
HCG 15d                       	02h07m37.49s	+02d10m50.5s	  6244	  0.020828	   0.000120	    	       0.9	       0.8
HCG 15e                       	02h07m25.28s	+02d06m58.0s	  7197	  0.024007	   0.000107	    	       0.3	       0.3
HCG 15f                       	02h07m37.79s	+02d11m25.4s	  6242	  0.020821	   0.000340	    	      0.56	      0.33
HCG 16a                       	02h09m24.60s	-10d08m09.3s	  4073	  0.013586	   0.000033	    	       1.3	       1.0
HCG 16b                       	02h09m20.84s	-10d07m59.1s	  3864	  0.012889	   0.000033	    	      1.76	      0.67
HCG 16c                       	02h09m38.53s	-10d08m48.1s	  3851	  0.012844	   0.000004	    	       1.1	       0.9
HCG 16d                       	02h09m42.93s	-10d11m02.7s	  3874	  0.012922	   0.000017	    	       1.4	       0.7
HCG 17a                       	02h14m05.12s	+13d18m39.8s	 18228	  0.060802	   0.000147	    	      0.36	      0.34
HCG 17b                       	02h14m03.85s	+13d18m47.3s	 18019	  0.060105	   0.000095	    	      0.54	      0.43
HCG 17c                       	02h14m05.02s	+13d19m02.3s	 18224	  0.060789	   0.000350	    	      0.27	      0.20
HCG 17d                       	02h14m07.59s	+13d18m23.6s	 17487	  0.058331	   0.000068	    	      0.18	      0.18
HCG 17e                       	02h14m04.21s	+13d19m08.6s	 17976	  0.059961	   0.000474	   :	      0.11	      0.09
HCG 20a                       	02h44m12.07s	+26d05m57.8s	 14477	  0.048290	   0.000150	    	      0.48	      0.18
HCG 20b                       	02h44m12.55s	+26d06m34.3s	 14424	  0.048113	   0.000140	    	      0.31	      0.17
HCG 20c                       	02h44m13.62s	+26d06m20.2s	 15032	  0.050141	   0.000150	    	      0.31	      0.28
HCG 20e                       	02h44m16.74s	+26d06m10.3s	 14312	  0.047740	   0.000163	    	      0.18	      0.14
HCG 20f                       	02h44m17.18s	+26d06m40.8s	 14280	  0.047633	   0.000207	    	      0.21	      0.10
HCG 21a                       	02h45m18.02s	-17d42m30.1s	  7552	  0.025191	   0.000033	    	       1.8	       0.6
HCG 21b                       	02h45m36.07s	-17d41m20.2s	  7293	  0.024327	   0.000083	    	       1.7	       0.7
HCG 21c                       	02h44m53.67s	-17d39m32.9s	  7453	  0.024861	   0.000087	    	       1.8	       1.3
HCG 21d                       	02h45m29.57s	-17d32m32.2s	  8715	  0.029070	   0.000150	    	       0.9	       0.8
HCG 21e                       	02h45m22.43s	-17d31m59.4s	  8819	  0.029417	   0.000110	    	       0.9	       0.6
HCG 23a                       	03h06m56.02s	-09d32m39.0s	  4869	  0.016241	   0.000050	    	       1.3	       0.3
HCG 23b                       	03h07m09.46s	-09d35m33.6s	  4877	  0.016268	   0.000037	    	       1.5	       1.1
HCG 23c                       	03h07m18.54s	-09d36m46.1s	  5373	  0.017922	   0.000040	    	       0.8	       0.2
HCG 23d                       	03h06m55.35s	-09d37m44.1s	  4467	  0.014900	   0.000070	    	      0.64	      0.51
HCG 24a                       	03h20m15.16s	-10d51m47.1s	  9248	  0.030848	   0.000137	    	       0.5	       0.4
HCG 24b                       	03h20m22.61s	-10d52m01.0s	  9137	  0.030478	   0.000147	    	       0.4	       0.4
HCG 24c                       	03h20m12.76s	-10d51m47.8s	  9283	  0.030965	   0.000364	    	      0.40	      0.28
HCG 24d                       	03h20m20.08s	-10d51m28.6s	  8779	  0.029284	   0.000203	    	      0.22	      0.16
HCG 24e                       	03h20m17.94s	-10d52m01.8s	  9323	  0.031098	   0.000203	    	      0.16	      0.15
HCG 25a                       	03h20m42.94s	-01d06m30.9s	  6285	  0.020965	   0.000100	    	       1.3	       0.6
HCG 25b                       	03h20m45.41s	-01d02m40.9s	  6331	  0.021118	   0.000027	    	      0.97	      0.64
HCG 25d                       	03h20m38.55s	-01d02m06.1s	  6322	  0.021087	   0.000070	    	      0.16	      0.11
HCG 25f                       	03h20m45.33s	-01d03m14.3s	  6244	  0.020829	   0.000059	    	      0.70	      0.34
HCG 26a                       	03h21m55.28s	-13d39m00.5s	  9678	  0.032282	   0.000167	    	      0.90	      0.11
HCG 26b                       	03h21m56.42s	-13d38m54.7s	  9332	  0.031128	   0.000130	    	      0.65	      0.32
HCG 26c                       	03h21m49.41s	-13d38m41.5s	  9618	  0.032082	   0.000207	    	      0.32	      0.15
HCG 26d                       	03h21m56.51s	-13d38m42.2s	  9133	  0.030464	   0.000207	    	      0.19	      0.17
HCG 26e                       	03h21m51.13s	-13d39m48.0s	  9623	  0.032099	   0.000167	    	      0.35	      0.12
HCG 26f                       	03h21m57.55s	-13d39m46.5s	  9626	  0.032109	   0.000153	    	      0.18	      0.12
HCG 26g                       	03h21m55.23s	-13d38m54.1s	  9293	  0.030998	   0.000207	    	      0.20	      0.17
HCG 30a                       	04h36m18.63s	-02d49m53.0s	  4697	  0.015668	   0.000067	    	       1.2	       0.8
HCG 30b                       	04h36m30.26s	-02d51m59.2s	  4625	  0.015427	   0.000080	    	       1.1	       0.9
HCG 30c                       	04h36m23.37s	-02d47m59.9s	  4508	  0.015037	   0.000127	   :	      0.58	      0.42
HCG 30d                       	04h36m36.59s	-02d50m35.2s	  4794	  0.015991	   0.000150	    	      0.51	      0.34
HCG 31a                       	05h01m38.67s	-04d15m33.6s	  4074	  0.013589	   0.000003	    	      1.08	      0.66
HCG 31b                       	05h01m36.17s	-04d15m43.3s	  4136	  0.013797	   0.000007	    	      0.87	      0.46
HCG 31c                       	05h01m37.76s	-04d15m28.4s	  4019	  0.013406	   0.000001	    	      0.61	      0.23
HCG 31f                       	05h01m40.02s	-04d16m22.4s	  3968	  0.013236	           	    	          	          
HCG 31g                       	05h01m44.01s	-04d17m19.5s	  3991	  0.013313	   0.000127	    	       0.6	       0.3
HCG 31q                       	05h01m38.34s	-04d13m20.8s	  4090	  0.013643	           	    	          	          
LEDA 3080767                 05h02m05.57s	-04d30m01.1s	  3960	  0.013209	   0.000150	    	       0.9	       0.6
HCG 32a                       	05h01m45.22s	-15d26m55.5s	 12547	  0.041852	   0.000127	    	      0.63	      0.51
HCG 32b                       	05h01m40.10s	-15d23m54.4s	 12125	  0.040445	   0.000190	    	      0.54	      0.22
HCG 32c                       	05h01m48.62s	-15d25m50.4s	 12039	  0.040158	   0.000150	    	      0.46	      0.29
HCG 32d                       	05h01m45.37s	-15d25m50.4s	 12263	  0.040905	   0.000150	    	      0.46	      0.24
HCG 33a                       	05h10m47.62s	+18d01m10.8s	  7464	  0.024897	   0.000070	    	      0.37	      0.34
HCG 33b                       	05h10m47.14s	+18d01m49.0s	  7858	  0.026211	   0.000050	    	      0.53	      0.33
HCG 33c                       	05h10m44.70s	+18d01m12.0s	  7823	  0.026095	   0.000157	   :	      0.78	      0.22
HCG 33d                       	05h10m53.15s	+18d02m01.0s	  7767	  0.025908	   0.000123	    	      0.24	      0.24
HCG 34a                       	05h21m45.76s	+06d41m19.9s	  8994	  0.030000	   0.000100	    	       1.6	       0.4
HCG 34b                       	05h21m49.79s	+06d40m37.3s	  9620	  0.032089	   0.000133	    	      0.28	      0.12
HCG 34c                       	05h21m48.88s	+06d40m55.4s	  9392	  0.031328	   0.000133	    	      0.37	      0.19
HCG 34d                       	05h21m47.69s	+06d41m02.0s	  8817	  0.029410	   0.000220	   :	      0.15	      0.10
HCG 35a                       	08h45m21.25s	+44d31m14.1s	 15919	  0.053100	   0.000127	    	      0.17	      0.13
HCG 35b                       	08h45m20.59s	+44d30m32.2s	 16338	  0.054498	   0.000107	    	      0.53	      0.46
HCG 35c                       	08h45m18.42s	+44d31m39.6s	 16249	  0.054200	   0.000834	    	      0.35	      0.30
HCG 35d                       	08h45m20.71s	+44d32m23.1s	 15798	  0.052696	   0.000133	    	      0.51	      0.19
HCG 35e                       	08h45m20.75s	+44d30m12.0s	 16711	  0.055743	   0.000178	    	      0.24	      0.14
HCG 35f                       	08h45m20.87s	+44d31m59.7s	 16330	  0.054471	   0.000207	    	      0.14	      0.12
HCG 37a                       	09h13m39.46s	+29d59m34.7s	  6745	  0.022499	   0.000067	    	      2.04	      0.98
HCG 37b                       	09h13m33.15s	+30d00m00.5s	  6758	  0.022542	   0.000077	    	      1.88	      0.28
HCG 37c                       	09h13m37.35s	+29d59m58.4s	  7356	  0.024537	   0.000123	    	       0.3	       0.2
HCG 37d                       	09h13m33.80s	+30d00m56.8s	  6131	  0.020451	   0.000057	    	      0.40	      0.32
HCG 37e                       	09h13m34.02s	+30d02m23.4s	  6469	  0.021578	   0.000060	    	      0.36	      0.35
HCG 39a                       	09h29m27.72s	-01d20m44.8s	 21119	  0.070445	   0.000173	    	      0.35	      0.27
HCG 39b                       	09h29m28.48s	-01d20m57.9s	 21176	  0.070636	   0.000203	   :	      0.26	      0.19
HCG 39c                       	09h29m29.38s	-01d21m09.1s	 20667	  0.068938	   0.000117	    	      0.26	      0.18
HCG 39d                       	09h29m27.13s	-01d20m22.3s	 21048	  0.070209	   0.000123	    	      0.23	      0.16
HCG 40a                       	09h38m53.55s	-04d50m57.4s	  6628	  0.022109	   0.000090	    	       1.3	       1.0
HCG 40b                       	09h38m54.96s	-04d51m57.7s	  6842	  0.022822	   0.000090	    	       1.1	       0.7
HCG 40c                       	09h38m53.61s	-04d51m36.6s	  6406	  0.021369	   0.000020	    	       1.1	       0.3
HCG 40d                       	09h38m55.85s	-04d50m13.5s	  6492	  0.021655	   0.000070	    	       0.9	       0.4
HCG 40e                       	09h38m55.44s	-04d51m30.1s	  6633	  0.022125	   0.000077	    	       0.7	       0.3
HCG 42a                       	10h00m14.29s	-19d38m13.1s	  3964	  0.013222	   0.000033	    	       3.0	       1.9
HCG 42b                       	10h00m33.11s	-19d39m43.1s	  4228	  0.014103	   0.000060	    	       1.0	       0.8
HCG 42c                       	10h00m10.29s	-19d37m18.5s	  4005	  0.013359	   0.000103	    	       0.4	       0.4
HCG 42d                       	10h00m12.98s	-19d40m22.9s	  4042	  0.013483	   0.000100	    	      0.44	      0.36
HCG 43a                       	10h11m19.89s	-00d01m22.7s	 10163	  0.033900	   0.000127	    	      0.70	      0.27
HCG 43b                       	10h11m07.52s	-00d02m31.9s	 10087	  0.033647	   0.000117	    	      1.01	      0.18
HCG 43c                       	10h11m12.66s	-00d04m03.1s	  9916	  0.033076	   0.000110	    	      0.50	      0.28
HCG 43d                       	10h11m13.00s	-00d05m13.6s	  9630	  0.032122	   0.000123	    	      0.30	      0.27
