      Input Object Name       	     RA     	    Dec     	  cz  	 Redshift 	 Redshift  	 z  	Basic-Data	Basic-Data
                              	  J2000.0   	  J2000.0   	 km/s 	          	Uncertainty	Qual	Major Diam	Minor Diam
                              	            	            	      	          	           	    	 (arcmin) 	 (arcmin)  
HCG 75e                       	15h21m34.11s	+21d10m44.5s	 12300	  0.041028	   0.001001	    	      0.40	      0.18
HCG 75f                       	15h21m29.83s	+21d11m07.8s	 13080	  0.043630	   0.000223	   :	      0.21	      0.17
HCG 75h                       	15h21m31.77s	+21d10m10.6s	 12191	  0.040664	           	    	      0.22	      0.13
HCG 76a                       	15h31m47.60s	+07d18m29.3s	 10088	  0.033650	   0.000093	    	       0.7	       0.2
HCG 76b                       	15h31m40.24s	+07d20m20.4s	 10002	  0.033363	   0.000100	    	      0.68	      0.55
HCG 76c                       	15h31m36.82s	+07d18m44.7s	 10663	  0.035568	   0.000097	    	      0.71	      0.67
HCG 76d                       	15h31m42.22s	+07d17m14.6s	 10194	  0.034004	   0.000097	    	      0.58	      0.49
HCG 76e                       	15h31m50.20s	+07d18m41.8s	 10328	  0.034450	   0.000173	    	      0.27	      0.25
HCG 76f                       	15h31m39.50s	+07d20m09.4s	 10216	  0.034077	   0.000300	    	      0.47	      0.32
HCG 76g                       	15h31m36.05s	+07d20m59.1s	  9843	  0.032833	   0.000270	    	      1.20	      0.21
HCG 79a                       	15h59m11.14s	+20d45m17.5s	  4560	  0.015210	   0.000027	    	       0.5	       0.4
HCG 79b                       	15h59m12.54s	+20d45m48.1s	  4447	  0.014834	   0.000037	    	       0.4	       0.2
HCG 79c                       	15h59m10.83s	+20d45m43.9s	  4053	  0.013519	   0.000027	    	       0.4	       0.2
HCG 79d                       	15h59m11.87s	+20d44m51.4s	  4620	  0.015412	   0.000010	    	       0.9	       0.2
HCG 79f                       	15h59m14.48s	+20d45m57.3s	  4095	  0.013659	   0.000137	    	       0.8	       0.4
HCG 80a                       	15h59m19.04s	+65d13m57.4s	  8975	  0.029938	   0.000015	    	      0.85	      0.18
HCG 80b                       	15h59m21.62s	+65d13m22.8s	  9584	  0.031969	   0.000130	    	      0.34	      0.29
HCG 80c                       	15h59m07.05s	+65d14m01.5s	  9550	  0.031855	   0.000123	    	      0.33	      0.27
HCG 80d                       	15h59m12.04s	+65d13m19.1s	  9108	  0.030381	   0.000180	    	      0.45	      0.18
HCG 81a                       	16h18m13.64s	+12d48m10.3s	 14676	  0.048954	   0.000153	    	      0.40	      0.15
HCG 81b                       	16h18m14.13s	+12d47m19.2s	 15150	  0.050535	   0.000314	    	      0.39	      0.18
HCG 81c                       	16h18m14.82s	+12d47m35.8s	 14930	  0.049801	   0.000181	    	      0.40	      0.30
HCG 81d                       	16h18m14.61s	+12d47m44.1s	 14954	  0.049881	   0.000304	    	      0.26	      0.23
HCG 82a                       	16h28m22.37s	+32d50m57.6s	 11177	  0.037282	   0.000100	    	       0.9	       0.7
HCG 82b                       	16h28m27.91s	+32d50m47.0s	 10447	  0.034847	   0.000123	    	      0.81	      0.57
HCG 82c                       	16h28m20.63s	+32d48m38.3s	 10095	  0.033673	   0.000127	    	      0.84	      0.32
HCG 82d                       	16h28m16.88s	+32d48m47.8s	 11685	  0.038977	   0.000153	    	      0.49	      0.19
HCG 83a                       	16h35m36.31s	+06d15m55.3s	 15560	  0.051903	   0.000200	    	      0.26	      0.26
HCG 83b                       	16h35m40.25s	+06d15m44.3s	 16442	  0.054845	   0.000230	    	      0.30	      0.23
HCG 83c                       	16h35m43.15s	+06d16m44.5s	 16520	  0.055105	   0.000444	    	      0.26	      0.14
HCG 83d                       	16h35m41.09s	+06d15m32.5s	 15500	  0.051702	   0.000444	   :	      0.12	      0.10
HCG 84a                       	16h44m22.82s	+77d50m19.5s	 16654	  0.055552	   0.000203	    	      0.59	      0.49
HCG 84b                       	16h44m13.40s	+77d51m31.1s	 16554	  0.055218	   0.000244	    	      0.48	      0.21
HCG 84c                       	16h44m30.00s	+77d49m48.9s	 16353	  0.054548	   0.000237	    	      0.50	      0.25
HCG 84d                       	16h44m02.44s	+77d51m23.3s	 16800	  0.056039	   0.000307	    	      0.27	      0.15
HCG 84e                       	16h44m26.93s	+77d50m17.0s	 16950	  0.056539	   0.000270	    	      0.15	      0.15
HCG 85a                       	18h50m18.45s	+73d21m05.2s	 11155	  0.037209	   0.000127	    	      0.53	      0.49
HCG 85b                       	18h50m26.33s	+73d20m42.7s	 12122	  0.040435	   0.000120	    	      0.44	      0.41
HCG 85c                       	18h50m29.68s	+73d21m27.4s	 11912	  0.039734	   0.000157	    	      0.30	      0.14
HCG 85d                       	18h50m36.07s	+73d20m57.0s	 11900	  0.039694	   0.000320	    	      0.22	      0.21
HCG 86a                       	19h52m08.77s	-30d49m32.7s	  6013	  0.020057	   0.000037	    	       1.2	       0.7
HCG 86b                       	19h51m59.06s	-30d48m58.4s	  5863	  0.019557	   0.000030	    	      0.74	      0.55
HCG 86c                       	19h51m57.46s	-30d51m25.0s	  5317	  0.017736	   0.000117	    	      0.57	      0.44
HCG 86d                       	19h51m51.94s	-30d48m30.4s	  5923	  0.019757	   0.000060	    	      0.62	      0.32
HCG 87a                       	20h48m15.00s	-19d50m57.9s	  8443	  0.028164	   0.000047	    	       1.6	       0.3
HCG 87b                       	20h48m10.93s	-19d51m23.1s	  8738	  0.029147	   0.000077	    	       0.7	       0.6
HCG 87c                       	20h48m11.99s	-19d49m55.9s	  8914	  0.029733	   0.000022	    	       0.7	       0.2
HCG 87d                       	20h48m12.77s	-19d50m46.1s	 10200	  0.034024	   0.000534	   :	      0.26	      0.19
HCG 88a                       	20h52m35.43s	-05d42m40.1s	  6033	  0.020124	   0.000083	    	      1.77	      0.65
HCG 88b                       	20h52m29.71s	-05d44m46.0s	  6192	  0.020655	   0.000050	    	      1.22	      0.90
HCG 88c                       	20h52m26.03s	-05d46m20.3s	  5956	  0.019868	   0.000021	    	      0.98	      0.84
HCG 88d                       	20h52m12.77s	-05d47m54.0s	  6041	  0.020152	   0.000014	    	      0.70	      0.29
HCG 89a                       	21h20m01.03s	-03d55m19.7s	  8808	  0.029381	   0.000026	    	       0.9	       0.6
HCG 89b                       	21h20m19.15s	-03d53m45.7s	  8884	  0.029634	   0.000150	    	      0.70	      0.34
HCG 89c                       	21h20m08.35s	-03d55m03.4s	  8872	  0.029594	   0.000133	    	      0.48	      0.29
HCG 89d                       	21h20m08.02s	-03d54m30.1s	  8857	  0.029544	   0.000107	    	      0.27	      0.17
HCG 90a                       	22h02m01.89s	-31d52m10.8s	  2603	  0.008683	   0.000040	    	       2.5	       1.4
HCG 90b                       	22h02m08.44s	-31d59m23.1s	  2511	  0.008376	   0.000047	    	       1.0	       0.8
HCG 90c                       	22h02m03.19s	-31d58m25.3s	  2497	  0.008329	   0.000040	    	       1.2	       0.9
HCG 90d                       	22h02m06.45s	-31d59m34.7s	  2659	  0.008869	   0.000030	    	       2.3	       1.2
HCG 91a                       	22h09m07.68s	-27d48m34.1s	  6934	  0.023128	   0.000033	    	       2.2	       1.4
HCG 91b                       	22h09m16.27s	-27d43m49.2s	  7267	  0.024240	   0.000103	    	       1.1	       0.2
HCG 91c                       	22h09m14.01s	-27d46m55.9s	  7190	  0.023983	   0.000033	    	      0.80	      0.55
HCG 91d                       	22h09m08.40s	-27d48m01.6s	  7315	  0.024400	   0.000073	    	       0.4	       0.3
HCG 92b                       	22h35m58.41s	+33d57m57.2s	  5774	  0.019260	   0.000080	    	       1.9	       1.2
HCG 92c                       	22h36m03.55s	+33d58m32.6s	  6747	  0.022507	   0.000012	    	       1.7	       1.3
HCG 92d                       	22h35m56.75s	+33d57m55.7s	  6630	  0.022115	   0.000077	    	       0.9	       0.9
HCG 92e                       	22h35m51.88s	+33d56m41.6s	  6599	  0.022012	   0.000087	    	       1.1	       1.1
HCG 92f                       	22h36m20.37s	+33d59m05.9s	  5985	  0.019964	   0.000030	    	       0.7	       0.6
HCG 93a                       	23h15m16.01s	+18d57m42.5s	  5072	  0.016918	   0.000067	    	       1.4	       1.2
HCG 93b                       	23h15m17.23s	+19d02m30.1s	  4736	  0.015799	   0.000011	    	       2.8	       0.7
HCG 93c                       	23h15m03.40s	+18d58m24.4s	  4772	  0.015918	   0.000033	    	       1.1	       0.5
HCG 93d                       	23h15m33.09s	+19d02m53.4s	  5173	  0.017255	   0.000113	    	       0.7	       0.6
HCG 94a                       	23h17m13.56s	+18d42m29.7s	 12045	  0.040178	   0.000107	    	       1.0	       1.0
HCG 94b                       	23h17m11.94s	+18d42m04.7s	 12068	  0.040254	   0.000107	    	       1.4	       1.4
HCG 94c                       	23h17m20.24s	+18d44m05.5s	 11919	  0.039757	   0.000083	    	      0.67	      0.29
HCG 94d                       	23h17m15.18s	+18d42m43.0s	 13028	  0.043457	   0.000080	    	      0.31	      0.19
HCG 94e                       	23h17m15.43s	+18d43m38.7s	 12250	  0.040862	   0.000344	    	      0.49	      0.12
HCG 94f                       	23h17m18.48s	+18d44m22.6s	 13038	  0.043490	   0.000073	    	      0.23	      0.17
HCG 94g                       	23h17m19.91s	+18d44m58.1s	 13200	  0.044030	   0.000380	    	      0.20	      0.11
HCG 95a                       	23h19m30.05s	+09d30m29.6s	 11879	  0.039624	   0.000097	    	      0.88	      0.65
HCG 95c                       	23h19m31.09s	+09d30m10.7s	 11562	  0.038567	   0.000133	    	      0.95	      0.31
HCG 95d                       	23h19m27.84s	+09d29m39.7s	 12350	  0.041195	   0.000324	    	      0.74	      0.15
HCG 96a                       	23h27m56.72s	+08d46m44.5s	  8671	  0.028924	   0.000030	    	       1.1	       1.0
HCG 96b                       	23h28m05.92s	+08d46m06.9s	  8616	  0.028740	   0.000140	    	      0.62	      0.47
HCG 96c                       	23h27m58.78s	+08d46m58.1s	  8852	  0.029527	   0.000033	    	      0.41	      0.29
HCG 96d                       	23h28m00.20s	+08d46m02.4s	  8975	  0.029937	   0.000190	    	      0.22	      0.12
HCG 97a                       	23h47m22.99s	-02d18m02.4s	  6932	  0.023123	   0.000073	    	       1.7	       1.1
HCG 97b                       	23h47m37.86s	-02d19m00.0s	  6666	  0.022235	   0.000070	    	      1.06	      0.12
HCG 97c                       	23h47m23.79s	-02d21m04.5s	  6003	  0.020024	   0.000087	    	      0.78	      0.49
HCG 97d                       	23h47m18.93s	-02d18m48.6s	  6328	  0.021108	   0.000100	    	      0.94	      0.82
HCG 97e                       	23h47m19.90s	-02d16m50.4s	  6665	  0.022232	   0.000080	    	      0.39	      0.33
HCG 99a                       	00h00m37.94s	+28d23m04.4s	  8705	  0.029037	   0.000030	    	       1.1	       0.4
HCG 99b                       	00h00m46.96s	+28d24m07.3s	  8764	  0.029234	   0.000063	    	       1.0	       0.9
HCG 99c                       	00h00m44.00s	+28d24m05.2s	  8157	  0.027209	   0.000107	    	       0.8	       0.4
HCG 99d                       	00h00m45.09s	+28d22m18.2s	  8643	  0.028830	   0.000274	    	      0.72	      0.46
HCG 99e                       	00h00m42.41s	+28d22m08.4s	  9007	  0.030044	   0.000320	    	      0.38	      0.30
HCG100a                       	00h01m19.97s	+13d06m40.5s	  5366	  0.017899	   0.000020	    	       1.0	       0.6
HCG100b                       	00h01m26.04s	+13d06m46.8s	  5256	  0.017532	   0.000117	    	      0.58	      0.52
HCG100c                       	00h01m13.38s	+13d08m38.6s	  5461	  0.018216	   0.000127	    	       0.9	       0.5
HCG100d                       	00h01m14.97s	+13d06m45.2s	  5590	  0.018646	   0.000107
