#Type ObjectName       	        RA     	        Dec     	 limit_cz   cz    Redshift    Redshift_uncertainty  zQual    MajorDiam	 MinorDiam
HCG17e                       	02h14m04.21s	+13d19m08.6s NULL 	 17976	  0.059961	   0.000474	   :	          0.11	      0.09
HCG20a                       	02h44m12.07s	+26d05m57.8s NULL	 14477	  0.048290	   0.000150	 NULL   	      0.48	      0.18
HCG20b                       	02h44m12.55s	+26d06m34.3s NULL	 14424	  0.048113	   0.000140	 NULL   	      0.31	      0.17
HCG20c                       	02h44m13.62s	+26d06m20.2s NULL	 15032	  0.050141	   0.000150	 NULL   	      0.31	      0.28
HCG20e                       	02h44m16.74s	+26d06m10.3s NULL	 14312	  0.047740	   0.000163	 NULL   	      0.18	      0.14
HCG20f                       	02h44m17.18s	+26d06m40.8s NULL	 14280	  0.047633	   0.000207	 NULL   	      0.21	      0.10
HCG21a                       	02h45m18.02s	-17d42m30.1s NULL	  7552	  0.025191	   0.000033	 NULL   	       1.8	       0.6
HCG21b                       	02h45m36.07s	-17d41m20.2s NULL	  7293	  0.024327	   0.000083	 NULL   	       1.7	       0.7
HCG21c                       	02h44m53.67s	-17d39m32.9s NULL	  7453	  0.024861	   0.000087	 NULL   	       1.8	       1.3
HCG21d                       	02h45m29.57s	-17d32m32.2s NULL	  8715	  0.029070	   0.000150	 NULL   	       0.9	       0.8
HCG21e                       	02h45m22.43s	-17d31m59.4s NULL	  8819	  0.029417	   0.000110	 NULL   	       0.9	       0.6
HCG23a                       	03h06m56.02s	-09d32m39.0s NULL	  4869	  0.016241	   0.000050	 NULL   	       1.3	       0.3
HCG23b                       	03h07m09.46s	-09d35m33.6s NULL	  4877	  0.016268	   0.000037	 NULL   	       1.5	       1.1
HCG23c                       	03h07m18.54s	-09d36m46.1s NULL	  5373	  0.017922	   0.000040	 NULL   	       0.8	       0.2
HCG23d                       	03h06m55.35s	-09d37m44.1s NULL	  4467	  0.014900	   0.000070	 NULL   	      0.64	      0.51
HCG24a                       	03h20m15.16s	-10d51m47.1s NULL	  9248	  0.030848	   0.000137	 NULL   	       0.5	       0.4
HCG24b                       	03h20m22.61s	-10d52m01.0s NULL	  9137	  0.030478	   0.000147	 NULL   	       0.4	       0.4
HCG24c                       	03h20m12.76s	-10d51m47.8s NULL	  9283	  0.030965	   0.000364	 NULL   	      0.40	      0.28
HCG24d                       	03h20m20.08s	-10d51m28.6s NULL	  8779	  0.029284	   0.000203	 NULL   	      0.22	      0.16
HCG24e                       	03h20m17.94s	-10d52m01.8s NULL	  9323	  0.031098	   0.000203	 NULL   	      0.16	      0.15
HCG25a                       	03h20m42.94s	-01d06m30.9s NULL	  6285	  0.020965	   0.000100	 NULL   	       1.3	       0.6
HCG25b                       	03h20m45.41s	-01d02m40.9s NULL	  6331	  0.021118	   0.000027	 NULL   	      0.97	      0.64
HCG25d                       	03h20m38.55s	-01d02m06.1s NULL	  6322	  0.021087	   0.000070	 NULL   	      0.16	      0.11
HCG25f                       	03h20m45.33s	-01d03m14.3s NULL	  6244	  0.020829	   0.000059	 NULL   	      0.70	      0.34
HCG26a                       	03h21m55.28s	-13d39m00.5s NULL	  9678	  0.032282	   0.000167	 NULL   	      0.90	      0.11
HCG26b                       	03h21m56.42s	-13d38m54.7s NULL	  9332	  0.031128	   0.000130	 NULL   	      0.65	      0.32
HCG26c                       	03h21m49.41s	-13d38m41.5s NULL	  9618	  0.032082	   0.000207	 NULL   	      0.32	      0.15
HCG26d                       	03h21m56.51s	-13d38m42.2s NULL	  9133	  0.030464	   0.000207	 NULL   	      0.19	      0.17
