#ObjectName,RA,Dec,RA_deg,Dec_deg,l_cz,cz,z,z_uncertainty,z_Qual,ANG_SIZE_MAJ,ANG_SIZE_MIN
HCG20e,02:44:16.74,+26:06:10.3,41.06974999999999,26.102861111111107,,14312,0.04774,1.63E-4,,0.18,0.14
HCG20f,02:44:17.18,+26:06:40.8,41.07158333333333,26.111333333333334,,14280,0.047633,2.07E-4,,0.21,0.1
HCG21a,02:45:18.02,-17:42:30.1,41.32508333333334,-17.70836111111111,,7552,0.025191,3.3E-5,,1.8,0.6
HCG21b,02:45:36.07,-17:41:20.2,41.400291666666675,-17.688944444444445,,7293,0.024327,8.3E-5,,1.7,0.7
HCG21c,02:44:53.67,-17:39:32.9,41.223625000000006,-17.659138888888894,,7453,0.024861,8.7E-5,,1.8,1.3
HCG21d,02:45:29.57,-17:32:32.2,41.37320833333333,-17.542277777777777,,8715,0.02907,1.5E-4,,0.9,0.8
HCG21e,02:45:22.43,-17:31:59.4,41.34345833333333,-17.533166666666666,,8819,0.029417,1.1E-4,,0.9,0.6
HCG23a,03:06:56.02,-09:32:39.0,46.73341666666667,-9.544166666666666,,4869,0.016241,5.0E-5,,1.3,0.3
HCG23b,03:07:09.46,-09:35:33.6,46.78941666666667,-9.592666666666666,,4877,0.016268,3.7E-5,,1.5,1.1
HCG23c,03:07:18.54,-09:36:46.1,46.82724999999999,-9.612805555555555,,5373,0.017922,4.0E-5,,0.8,0.2
HCG23d,03:06:55.35,-09:37:44.1,46.730625,-9.628916666666667,,4467,0.0149,7.0E-5,,0.64,0.51
HCG24a,03:20:15.16,-10:51:47.1,50.06316666666667,-10.863083333333334,,9248,0.030848,1.37E-4,,0.5,0.4
HCG24b,03:20:22.61,-10:52:01.0,50.09420833333333,-10.866944444444444,,9137,0.030478,1.47E-4,,0.4,0.4
HCG24c,03:20:12.76,-10:51:47.8,50.05316666666666,-10.86327777777778,,9283,0.030965,3.64E-4,,0.4,0.28
HCG24d,03:20:20.08,-10:51:28.6,50.08366666666667,-10.857944444444444,,8779,0.029284,2.03E-4,,0.22,0.16
HCG24e,03:20:17.94,-10:52:01.8,50.074749999999995,-10.867166666666664,,9323,0.031098,2.03E-4,,0.16,0.15
HCG25a,03:20:42.94,-01:06:30.9,50.17891666666667,-1.1085833333333333,,6285,0.020965,1.0E-4,,1.3,0.6
HCG25b,03:20:45.41,-01:02:40.9,50.18920833333333,-1.0446944444444444,,6331,0.021118,2.7E-5,,0.97,0.64
HCG25d,03:20:38.55,-01:02:06.1,50.160625,-1.0350277777777779,,6322,0.021087,7.0E-5,,0.16,0.11
HCG25f,03:20:45.33,-01:03:14.3,50.188875,-1.0539722222222223,,6244,0.020829,5.9E-5,,0.7,0.34
HCG26a,03:21:55.28,-13:39:00.5,50.48033333333333,-13.65013888888889,,9678,0.032282,1.67E-4,,0.9,0.11
HCG26b,03:21:56.42,-13:38:54.7,50.48508333333333,-13.64852777777778,,9332,0.031128,1.3E-4,,0.65,0.32
HCG26c,03:21:49.41,-13:38:41.5,50.455875,-13.644861111111112,,9618,0.032082,2.07E-4,,0.32,0.15
HCG26d,03:21:56.51,-13:38:42.2,50.48545833333333,-13.645055555555556,,9133,0.030464,2.07E-4,,0.19,0.17
HCG26e,03:21:51.13,-13:39:48.0,50.46304166666667,-13.663333333333332,,9623,0.032099,1.67E-4,,0.35,0.12
HCG26f,03:21:57.55,-13:39:46.5,50.489791666666655,-13.662916666666666,,9626,0.032109,1.53E-4,,0.18,0.12
HCG26g,03:21:55.23,-13:38:54.1,50.48012500000001,-13.648361111111113,,9293,0.030998,2.07E-4,,0.2,0.17
HCG30a,04:36:18.63,-02:49:53.0,69.077625,-2.8313888888888887,,4697,0.015668,6.7E-5,,1.2,0.8
HCG30b,04:36:30.26,-02:51:59.2,69.12608333333334,-2.8664444444444444,,4625,0.015427,8.0E-5,,1.1,0.9
HCG30c,04:36:23.37,-02:47:59.9,69.097375,-2.799972222222222,,4508,0.015037,1.27E-4,:,0.58,0.42
HCG30d,04:36:36.59,-02:50:35.2,69.15245833333333,-2.8431111111111114,,4794,0.015991,1.5E-4,,0.51,0.34
HCG31a,05:01:38.67,-04:15:33.6,75.41112500000001,-4.259333333333333,,4074,0.013589,3.0E-6,,1.08,0.66
HCG31b,05:01:36.17,-04:15:43.3,75.40070833333333,-4.262027777777777,,4136,0.013797,7.0E-6,,0.87,0.46
HCG31c,05:01:37.76,-04:15:28.4,75.40733333333334,-4.257888888888889,,4019,0.013406,1.0E-6,,0.61,0.23
HCG31f,05:01:40.02,-04:16:22.4,75.41675000000001,-4.272888888888889,,3968,0.013236,,,,
HCG31g,05:01:44.01,-04:17:19.5,75.433375,-4.28875,,3991,0.013313,1.27E-4,,0.6,0.3
HCG31q,05:01:38.34,-04:13:20.8,75.40975,-4.222444444444444,,4090,0.013643,,,,
LEDA3080767,05:02:05.57,-04:30:01.1,75.52320833333333,-4.5003055555555544,,3960,0.013209,1.5E-4,,0.9,0.6
HCG32a,05:01:45.22,-15:26:55.5,75.43841666666667,-15.448750000000002,,12547,0.041852,1.27E-4,,0.63,0.51
HCG32b,05:01:40.10,-15:23:54.4,75.41708333333332,-15.398444444444447,,12125,0.040445,1.9E-4,,0.54,0.22
HCG32c,05:01:48.62,-15:25:50.4,75.45258333333334,-15.430666666666665,,12039,0.040158,1.5E-4,,0.46,0.29
HCG32d,05:01:45.37,-15:25:50.4,75.43904166666667,-15.430666666666665,,12263,0.040905,1.5E-4,,0.46,0.24
HCG33a,05:10:47.62,+18:01:10.8,77.69841666666667,18.019666666666666,,7464,0.024897,7.0E-5,,0.37,0.34
HCG33b,05:10:47.14,+18:01:49.0,77.69641666666668,18.03027777777778,,7858,0.026211,5.0E-5,,0.53,0.33
HCG33c,05:10:44.70,+18:01:12.0,77.68625,18.02,,7823,0.026095,1.57E-4,:,0.78,0.22
HCG33d,05:10:53.15,+18:02:01.0,77.72145833333333,18.03361111111111,,7767,0.025908,1.23E-4,,0.24,0.24
HCG34a,05:21:45.76,+06:41:19.9,80.44066666666667,6.688861111111111,,8994,0.03,1.0E-4,,1.6,0.4
HCG34b,05:21:49.79,+06:40:37.3,80.45745833333334,6.677027777777778,,9620,0.032089,1.33E-4,,0.28,0.12
HCG34c,05:21:48.88,+06:40:55.4,80.45366666666666,6.682055555555555,,9392,0.031328,1.33E-4,,0.37,0.19
HCG34d,05:21:47.69,+06:41:02.0,80.44870833333333,6.683888888888888,,8817,0.02941,2.2E-4,:,0.15,0.1
HCG35a,08:45:21.25,+44:31:14.1,131.33854166666666,44.520583333333335,,15919,0.0531,1.27E-4,,0.17,0.13
HCG35b,08:45:20.59,+44:30:32.2,131.33579166666667,44.508944444444445,,16338,0.054498,1.07E-4,,0.53,0.46
HCG35c,08:45:18.42,+44:31:39.6,131.32675,44.527666666666676,,16249,0.0542,8.34E-4,,0.35,0.3
HCG35d,08:45:20.71,+44:32:23.1,131.33629166666665,44.53975,,15798,0.052696,1.33E-4,,0.51,0.19
HCG35e,08:45:20.75,+44:30:12.0,131.33645833333333,44.50333333333332,,16711,0.055743,1.78E-4,,0.24,0.14
HCG35f,08:45:20.87,+44:31:59.7,131.33695833333334,44.53325000000001,,16330,0.054471,2.07E-4,,0.14,0.12
HCG37a,09:13:39.46,+29:59:34.7,138.41441666666668,29.99297222222222,,6745,0.022499,6.7E-5,,2.04,0.98
HCG37b,09:13:33.15,+30:00:00.5,138.38812499999997,30.000138888888888,,6758,0.022542,7.7E-5,,1.88,0.28
HCG37c,09:13:37.35,+29:59:58.4,138.40562500000001,29.99955555555556,,7356,0.024537,1.23E-4,,0.3,0.2
HCG37d,09:13:33.80,+30:00:56.8,138.39083333333332,30.01577777777778,,6131,0.020451,5.7E-5,,0.4,0.32
HCG37e,09:13:34.02,+30:02:23.4,138.39175,30.039833333333338,,6469,0.021578,6.0E-5,,0.36,0.35
HCG39a,09:29:27.72,-01:20:44.8,142.36550000000003,-1.3457777777777777,,21119,0.070445,1.73E-4,,0.35,0.27
HCG39b,09:29:28.48,-01:20:57.9,142.36866666666666,-1.349416666666667,,21176,0.070636,2.03E-4,:,0.26,0.19
HCG39c,09:29:29.38,-01:21:09.1,142.37241666666665,-1.3525277777777778,,20667,0.068938,1.17E-4,,0.26,0.18
HCG39d,09:29:27.13,-01:20:22.3,142.36304166666665,-1.3395277777777777,,21048,0.070209,1.23E-4,,0.23,0.16
