#ObjectName,RA,Dec,limit_cz,cz,Redshift,Redshift_uncertainty,zQual,MajorDiam,MinorDiam
HCG89a,21:20:01.03,-03:55:19.7,,8808,0.029381,0.000026,,0.9,0.6
HCG89b,21:20:19.15,-03:53:45.7,,8884,0.029634,0.000150,,0.70,0.34
HCG89c,21:20:08.35,-03:55:03.4,,8872,0.029594,0.000133,,0.48,0.29
HCG89d,21:20:08.02,-03:54:30.1,,8857,0.029544,0.000107,,0.27,0.17
HCG90a,22:02:01.89,-31:52:10.8,,2603,0.008683,0.000040,,2.5,1.4
HCG90b,22:02:08.44,-31:59:23.1,,2511,0.008376,0.000047,,1.0,0.8
HCG90c,22:02:03.19,-31:58:25.3,,2497,0.008329,0.000040,,1.2,0.9
HCG90d,22:02:06.45,-31:59:34.7,,2659,0.008869,0.000030,,2.3,1.2
HCG91a,22:09:07.68,-27:48:34.1,,6934,0.023128,0.000033,,2.2,1.4
HCG91b,22:09:16.27,-27:43:49.2,,7267,0.024240,0.000103,,1.1,0.2
HCG91c,22:09:14.01,-27:46:55.9,,7190,0.023983,0.000033,,0.80,0.55
HCG91d,22:09:08.40,-27:48:01.6,,7315,0.024400,0.000073,,0.4,0.3
HCG92b,22:35:58.41,+33:57:57.2,,5774,0.019260,0.000080,,1.9,1.2
HCG92c,22:36:03.55,+33:58:32.6,,6747,0.022507,0.000012,,1.7,1.3
HCG92d,22:35:56.75,+33:57:55.7,,6630,0.022115,0.000077,,0.9,0.9
HCG92e,22:35:51.88,+33:56:41.6,,6599,0.022012,0.000087,,1.1,1.1
HCG92f,22:36:20.37,+33:59:05.9,,5985,0.019964,0.000030,,0.7,0.6
HCG93a,23:15:16.01,+18:57:42.5,,5072,0.016918,0.000067,,1.4,1.2
HCG93b,23:15:17.23,+19:02:30.1,,4736,0.015799,0.000011,,2.8,0.7
HCG93c,23:15:03.40,+18:58:24.4,,4772,0.015918,0.000033,,1.1,0.5
HCG93d,23:15:33.09,+19:02:53.4,,5173,0.017255,0.000113,,0.7,0.6
HCG94a,23:17:13.56,+18:42:29.7,,12045,0.040178,0.000107,,1.0,1.0
HCG94b,23:17:11.94,+18:42:04.7,,12068,0.040254,0.000107,,1.4,1.4
HCG94c,23:17:20.24,+18:44:05.5,,11919,0.039757,0.000083,,0.67,0.29
HCG94d,23:17:15.18,+18:42:43.0,,13028,0.043457,0.000080,,0.31,0.19
HCG94e,23:17:15.43,+18:43:38.7,,12250,0.040862,0.000344,,0.49,0.12
HCG94f,23:17:18.48,+18:44:22.6,,13038,0.043490,0.000073,,0.23,0.17
HCG94g,23:17:19.91,+18:44:58.1,,13200,0.044030,0.000380,,0.20,0.11
HCG95a,23:19:30.05,+09:30:29.6,,11879,0.039624,0.000097,,0.88,0.65
HCG95c,23:19:31.09,+09:30:10.7,,11562,0.038567,0.000133,,0.95,0.31
HCG95d,23:19:27.84,+09:29:39.7,,12350,0.041195,0.000324,,0.74,0.15
HCG96a,23:27:56.72,+08:46:44.5,,8671,0.028924,0.000030,,1.1,1.0
HCG96b,23:28:05.92,+08:46:06.9,,8616,0.028740,0.000140,,0.62,0.47
HCG96c,23:27:58.78,+08:46:58.1,,8852,0.029527,0.000033,,0.41,0.29
HCG96d,23:28:00.20,+08:46:02.4,,8975,0.029937,0.000190,,0.22,0.12
HCG97a,23:47:22.99,-02:18:02.4,,6932,0.023123,0.000073,,1.7,1.1
HCG97b,23:47:37.86,-02:19:00.0,,6666,0.022235,0.000070,,1.06,0.12
HCG97c,23:47:23.79,-02:21:04.5,,6003,0.020024,0.000087,,0.78,0.49
HCG97d,23:47:18.93,-02:18:48.6,,6328,0.021108,0.000100,,0.94,0.82
HCG97e,23:47:19.90,-02:16:50.4,,6665,0.022232,0.000080,,0.39,0.33
HCG99a,00:00:37.94,+28:23:04.4,,8705,0.029037,0.000030,,1.1,0.4
HCG99b,00:00:46.96,+28:24:07.3,,8764,0.029234,0.000063,,1.0,0.9
HCG99c,00:00:44.00,+28:24:05.2,,8157,0.027209,0.000107,,0.8,0.4
HCG99d,00:00:45.09,+28:22:18.2,,8643,0.028830,0.000274,,0.72,0.46
HCG99e,00:00:42.41,+28:22:08.4,,9007,0.030044,0.000320,,0.38,0.30
HCG100a,00:01:19.97,+13:06:40.5,,5366,0.017899,0.000020,,1.0,0.6
HCG100b,00:01:26.04,+13:06:46.8,,5256,0.017532,0.000117,,0.58,0.52
HCG100c,00:01:13.38,+13:08:38.6,,5461,0.018216,0.000127,,0.9,0.5
HCG100d,00:01:14.97,+13:06:45.2,,5590,0.018646,0.000107,,,
