#ObjectName,RA,Dec,limit_cz,cz,Redshift,Redshift_uncertainty,zQual,MajorDiam,MinorDiam
HCG26a,03:21:55.28,-13:39:00.5,,9678,0.032282,0.000167,,0.90,0.11
HCG26b,03:21:56.42,-13:38:54.7,,9332,0.031128,0.000130,,0.65,0.32
HCG26c,03:21:49.41,-13:38:41.5,,9618,0.032082,0.000207,,0.32,0.15
HCG26d,03:21:56.51,-13:38:42.2,,9133,0.030464,0.000207,,0.19,0.17
HCG26e,03:21:51.13,-13:39:48.0,,9623,0.032099,0.000167,,0.35,0.12
HCG26f,03:21:57.55,-13:39:46.5,,9626,0.032109,0.000153,,0.18,0.12
HCG26g,03:21:55.23,-13:38:54.1,,9293,0.030998,0.000207,,0.20,0.17
HCG30a,04:36:18.63,-02:49:53.0,,4697,0.015668,0.000067,,1.2,0.8
HCG30b,04:36:30.26,-02:51:59.2,,4625,0.015427,0.000080,,1.1,0.9
HCG30c,04:36:23.37,-02:47:59.9,,4508,0.015037,0.000127,:,0.58,0.42
HCG30d,04:36:36.59,-02:50:35.2,,4794,0.015991,0.000150,,0.51,0.34
HCG31a,05:01:38.67,-04:15:33.6,,4074,0.013589,0.000003,,1.08,0.66
HCG31b,05:01:36.17,-04:15:43.3,,4136,0.013797,0.000007,,0.87,0.46
HCG31c,05:01:37.76,-04:15:28.4,,4019,0.013406,0.000001,,0.61,0.23
HCG31f,05:01:40.02,-04:16:22.4,,3968,0.013236,,,,
HCG31g,05:01:44.01,-04:17:19.5,,3991,0.013313,0.000127,,0.6,0.3
HCG31q,05:01:38.34,-04:13:20.8,,4090,0.013643,,,,
LEDA3080767,05:02:05.57,-04:30:01.1,,3960,0.013209,0.000150,,0.9,0.6
HCG32a,05:01:45.22,-15:26:55.5,,12547,0.041852,0.000127,,0.63,0.51
HCG32b,05:01:40.10,-15:23:54.4,,12125,0.040445,0.000190,,0.54,0.22
HCG32c,05:01:48.62,-15:25:50.4,,12039,0.040158,0.000150,,0.46,0.29
