objectHCG,groupNumber,ra_deg,dec_deg,cz
"HCG49a",49,164.174,67.1849,9937
"HCG49b",49,164.163,67.1803,9931
"HCG49c",49,164.153,67.1812,9926
"HCG49d",49,164.14,67.178,10010
"HCG50a",50,169.277,54.9171,30000
"HCG50b",50,169.285,54.9174,30000
"HCG50c",50,169.267,54.9209,30000
"HCG50d",50,169.277,54.9237,30000
"HCG50e",50,169.286,54.9206,30000
"HCG51a",51,170.61,24.2991,7626
"HCG51b",51,170.559,24.3001,8219
"HCG51c",51,170.625,24.2793,8902
"HCG51d",51,170.627,24.2999,7529
"HCG51e",51,170.555,24.3172,7700
"HCG51f",51,170.61,24.2954,7532
"HCG51g",51,170.617,24.2954,7532
"HCG53a",53,172.21,20.795,6261
"HCG53b",53,172.249,20.7391,6335
"HCG53c",53,172.244,20.7497,6249
"HCG53d",53,172.311,20.7731,6280
"HCG55a",55,173.029,70.8155,16070
"HCG55b",55,173.023,70.8066,15690
"HCG55c",55,173.024,70.8108,15480
"HCG55d",55,173.028,70.8212,16070
"HCG56a",56,173.195,52.9409,8205
"HCG56b",56,173.168,52.9504,7919
"HCG56c",56,173.153,52.9477,8110
"HCG56d",56,173.147,52.9473,8346
"HCG56e",56,173.137,52.9393,7988
"HCG57a",57,174.475,21.9814,8727
"HCG57b",57,174.432,22.0098,9022
"HCG57c",57,174.465,21.9743,9081
"HCG57d",57,174.479,21.9855,8977
"HCG57e",57,174.454,22.0261,8816
"HCG57f",57,174.474,21.9365,9394
"HCG57g",57,174.435,22.0213,9463
"HCG57h",57,174.46,22.0126,9240
"HCG58a",58,175.546,10.2778,6267
"HCG58b",58,175.599,10.2641,6503
"HCG58c",58,175.471,10.3044,6103
"HCG58d",58,175.524,10.3511,6274
"HCG58e",58,175.52,10.3842,6102
"HCG59a",59,177.115,12.7274,4109
"HCG59b",59,177.084,12.7166,4004
"HCG59c",59,177.135,12.7053,4394
"HCG59d",59,177.128,12.7298,3635
"HCG60a",60,180.78,51.6752,19007
"HCG60b",60,180.736,51.695,18396
"HCG60c",60,180.779,51.6854,19277
"HCG60d",60,180.79,51.6782,18223
"HCG62a",62,193.274,-9.20383,4259
"HCG62b",62,193.269,-9.19992,3561
"HCG62c",62,193.291,-9.19781,4432
"HCG62d",62,193.278,-9.25764,4174
"HCG65a",65,202.462,-29.5146,13735
"HCG65b",65,202.478,-29.4969,14662
"HCG65c",65,202.472,-29.4919,14147
"HCG65d",65,202.467,-29.5131,13733
"HCG65e",65,202.481,-29.4916,14405
"HCG66a",66,204.659,57.3123,20688
"HCG66b",66,204.668,57.3125,21440
"HCG66c",66,204.646,57.3082,20801
"HCG66d",66,204.643,57.3043,20666
"HCG67a",67,207.298,-7.22439,7213
"HCG67b",67,207.248,-7.19494,7588
"HCG67c",67,207.301,-7.20911,7528
"HCG67d",67,207.291,-7.23175,7101
"HCG68a",68,208.361,40.283,2325
"HCG68b",68,208.361,40.3027,2579
"HCG68c",68,208.34,40.3639,2321
"HCG68d",68,208.44,40.3387,2344
"HCG68e",68,208.502,40.2773,2412
"HCG69a",69,208.874,25.0737,8856
"HCG69b",69,208.893,25.0498,8724
"HCG69c",69,208.886,25.0744,8546
"HCG69d",69,208.868,25.0736,8859
"HCG70d",70,211.041,33.346,18846
"HCG70e",70,211.024,33.3207,19117
"HCG70f",70,211.018,33.3292,19243
"HCG70g",70,211.001,33.3317,19010
"HCG72a",72,221.972,19.0771,12506
"HCG72b",72,221.979,19.06,12356
"HCG72c",72,221.987,19.0451,13062
"HCG72d",72,221.982,19.0573,12558
"HCG72f",72,221.98,19.0474,13950
"HCG74a",74,229.853,20.8963,12255
"HCG74b",74,229.851,20.8908,11976
"HCG74c",74,229.858,20.8995,12266
"HCG74d",74,229.882,20.8836,11681
"HCG74e",74,229.866,20.9089,11489
"HCG75a",75,230.376,21.1912,12538
"HCG75b",75,230.377,21.1924,12228
"HCG75c",75,230.412,21.177,12292
"HCG75d",75,230.405,21.1815,12334
"HCG75e",75,230.392,21.179,12300
"HCG75f",75,230.374,21.1855,13080
"HCG75h",75,230.382,21.1696,12191
"HCG76a",76,232.948,7.30814,10088
"HCG76b",76,232.918,7.339,10002
"HCG76c",76,232.903,7.31242,10663
"HCG76d",76,232.926,7.28739,10194
"HCG76e",76,232.959,7.31161,10328
"HCG76f",76,232.915,7.33594,10216
"HCG76g",76,232.9,7.34975,9843
"HCG79a",79,239.796,20.7549,4560
"HCG79b",79,239.802,20.7634,4447
"HCG79c",79,239.795,20.7622,4053
"HCG79d",79,239.799,20.7476,4620
"HCG79f",79,239.81,20.7659,4095
"HCG80a",80,239.829,65.2326,8975
"HCG80b",80,239.84,65.223,9584
"HCG80c",80,239.779,65.2337,9550
"HCG80d",80,239.8,65.222,9108
"HCG81a",81,244.557,12.8029,14676
"HCG81b",81,244.559,12.7887,15150
"HCG81c",81,244.562,12.7933,14930
"HCG81d",81,244.561,12.7956,14954
"HCG82a",82,247.093,32.8493,11177
"HCG82b",82,247.116,32.8464,10447
"HCG82c",82,247.086,32.8106,10095
"HCG82d",82,247.07,32.8133,11685
"HCG83a",83,248.901,6.26536,15560
"HCG83b",83,248.918,6.26231,16442
"HCG83c",83,248.93,6.27903,16520
"HCG83d",83,248.921,6.25903,15500
"HCG84a",84,251.095,77.8388,16654
"HCG84b",84,251.056,77.8586,16554
"HCG84c",84,251.125,77.8303,16353
